state	prlr.rate
10000	0.02318068506479
20000	0.123604200677115
30000	0.134542699137924
40000	0.146630233785874
50000	0.158130143267014
60000	0.185541553479066
70000	0.17915660353599
80000	0.189383269301148
90000	0.217753079128379
100000	0.206674737928093
110000	0.223525955048111
120000	0.230569948193784
130000	0.120102606415031
140000	0.120235318484796
150000	0.134568280075686
160000	0.145485462183905
170000	0.14483219043258
180000	0.161189507865797
190000	0.150647397768914
200000	0.172190044826498
210000	0.149428143118743
220000	0.152354698526094
230000	0.177936639771537
240000	0.182329608276663
250000	0.176276927287287
260000	0.18359510966117
270000	0.196665369477189
280000	0.201587995032967
290000	0.192119279956169
300000	0.178581463139787
310000	0.182828222716152
320000	0.205230220921989
330000	0.177364867320012
340000	0.192308351869678
350000	0.194260806433274
360000	0.179805862408157
370000	0.189311709357988
380000	0.181547824024613
390000	0.197455246996967
400000	0.188862739079391
410000	0.172783770528979
420000	0.193484322283523
430000	0.188098780705334
440000	0.177785645814134
450000	0.177527377147514
460000	0.163045990731004
470000	0.174378226844286
480000	0.153316705562667
490000	0.152966359188939
500000	0.149284396260835
510000	0.165811374695526
520000	0.161020605870886
530000	0.140853759463081
540000	0.12633547203368
550000	0.119464763832482
560000	0.11184552286435
570000	0.118371619799515
580000	0.118305126198862
590000	0.134996353070519
600000	0.115548149214759
610000	0.102057613283288
620000	0.130825225729962
630000	0.103620685185033
640000	0.094616340590481
650000	0.082132830061684
660000	0.082058582527838
670000	0.088633995675223
680000	0.096272628582959
690000	0.092437821575072
700000	0.095338155153679
710000	0.082308127489976
720000	0.086157917303017
730000	0.092954218650122
740000	0.092463791395548
750000	0.088090307962681
760000	0.091685834757405
770000	0.086909741481772
780000	0.076043811697689
790000	0.075140935691486
800000	0.078090619580723
810000	0.070204853866166
820000	0.072857484044747
830000	0.095082981988709
840000	0.083442648711666
850000	0.07934569241769
860000	0.075550051426074
870000	0.085460236700674
880000	0.083524977309972
890000	0.082217277069853
900000	0.072540062933728
910000	0.078794374707841
920000	0.084593678186478
930000	0.087960712098383
940000	0.085577417275109
950000	0.082237348823362
960000	0.079038720167391
970000	0.075692803950879
980000	0.080149574274176
990000	0.075159084127457
1000000	0.082570509883397
1010000	0.072842587845525
1020000	0.074125102004197
1030000	0.071395273783465
1040000	0.078684564298035
1050000	0.068120024403174
1060000	0.073895947641171
1070000	0.073742671104113
1080000	0.068301475883604
1090000	0.074341935711004
1100000	0.066410005391584
1110000	0.083570941273899
1120000	0.067636604223423
1130000	0.06453597922332
1140000	0.071890159709401
1150000	0.067828370343874
1160000	0.06717069455611
1170000	0.063620622627688
1180000	0.069163537037621
1190000	0.069742471102311
1200000	0.06910649321116
1210000	0.081595759383295
1220000	0.0681461204342
1230000	0.067796705266644
1240000	0.067703042909672
1250000	0.066421339737668
1260000	0.063253672359704
1270000	0.066256995454066
1280000	0.065334822067934
1290000	0.074171295172896
1300000	0.059693195766423
1310000	0.060699705003827
1320000	0.070334660667958
1330000	0.068576165106205
1340000	0.07424273686341
1350000	0.071522269960212
1360000	0.068704327815564
1370000	0.066038119481325
1380000	0.074714575965098
1390000	0.075509118973678
1400000	0.063757036854328
1410000	0.08102483116007
1420000	0.067979832791898
1430000	0.065629919493721
1440000	0.070685588140004
1450000	0.080203342541538
1460000	0.068271091821757
1470000	0.070119247246938
1480000	0.061937234376952
1490000	0.069033931487589
